filters,"contextMap.casinoName: Descending",Total,avg,max,Median
Casino,"PP_ZFTopGame_TopGame",6,"381.1666666666667",431,"374.5"
Casino,"PP_ZF009_ZF009001",4,343,369,"351.5"
Casino,"PP_Youlike_ybgam",1,387,387,387
Casino,"PP_Youlike_yb900",1,380,380,380
Casino,"PP_XBCgaming_empire888",1,343,343,343
Casino,"PP_Wise_Knight_Limited_eubet",2,"333.5",356,"333.5"
Casino,"PP_Wise_Knight_Limited_998Bet",1887,"326.65394806571277",4478,244
Casino,"PP_Win88_Win88_BT",165,"1006.0181818181818",2265,1185
Casino,"PP_WSO_WSOBT",304,"302.3388157894737",865,316
Casino,"PP_WLE_T4D",160,"822.09375",5301,296
Casino,"PP_WLE_RBT",37,"1497.4594594594594",4701,311
Casino,"PP_WLE_PTG",59,"1275.3389830508474",5088,321
Casino,"PP_WLE_POS",122,"1502.0901639344263",5309,323
Casino,"PP_WLE_OTG",164,"1513.2987804878048",5280,329
Casino,"PP_WLE_MBO",43,"1330.3953488372092",4788,302
Casino,"PP_WLE_H28",74,"2357.337837837838",5126,2207
Casino,"PP_WLE_GTT",6,"1698.8333333333333",4645,"332.5"
Casino,"PP_WLE_DDG",30,"1768.8333333333333",5259,341
Casino,"PP_WLE_ARJ",81,"1470.6296296296296",5162,295
Casino,"PP_WLE_AF3",8,"2501.75",5168,2395
Casino,"PP_WISE_KNIGHT_LIMITED_998v2",4501,"599.2501666296379",3836,"276.42028985507244"
Casino,"PP_Voidbridge_dafa",979,"423.31154239019406",1678,309
Casino,"PP_Vegasbet",32,"59.9375",251,42
Casino,"PP_VWIN_VWIN",466,"658.5407725321888",3839,"297.8"
Casino,"PP_Usoftgaming_PH_Casino",192,"127.42708333333333",1556,39
Casino,"PP_USABET_Group_MTY999",126,"335.5238095238095",883,315
Casino,"PP_USABET_Group_Luckyall",216,"383.89351851851853",2225,303
Casino,"PP_USABET_Group_LasVegas",97,"373.0103092783505",945,313
Casino,"PP_USABET_Group_Lagalaxy77",14,"387.64285714285717",1031,315
Casino,"PP_USABET_Group_Circus",2,569,819,569
Casino,"PP_Two_Up_Vickers",131,"80.74809160305344",295,39
Casino,"PP_Tipobet365_Supertotobet",285,"66.33333333333333",1137,"36.333333333333336"
Casino,"PP_Tipobet365_Onwin",217,"126.66359447004608",352,37
Casino,"PP_Tipobet365_Mariobet",67,"99.13432835820896",797,28
Casino,"PP_Tipobet365_Betmatik",42,"76.33333333333333",373,"37.5"
Casino,"PP_Tipobet365",399,"82.31077694235589",602,36
Casino,"PP_Tekhou5_Roobet",2753,"72.47911369415183",1311,39
Casino,"PP_Superswan_ZCH032",1,373,373,373
Casino,"PP_Superswan_ZCH002",11,"330.1818181818182",413,327
