"contextMap.casinoName: Descending" 	 Total
"PP_ZFTopGame_TopGame" 	 6
"PP_ZF009_ZF009001" 	 4
"PP_Youlike_ybgam" 	 1
"PP_Youlike_yb900" 	 1
"PP_XBCgaming_empire888" 	 1
"PP_Wise_Knight_Limited_eubet" 	 2
"PP_Wise_Knight_Limited_998Bet" 	 1887
"PP_Win88_Win88_BT" 	 165
"PP_WSO_WSOBT" 	 304
"PP_WLE_T4D" 	 160
"PP_WLE_RBT" 	 37
"PP_WLE_PTG" 	 59
"PP_WLE_POS" 	 122
"PP_WLE_OTG" 	 164
"PP_WLE_MBO" 	 43
"PP_WLE_H28" 	 74
"PP_WLE_GTT" 	 6
"PP_WLE_DDG" 	 30
"PP_WLE_ARJ" 	 81
"PP_WLE_AF3" 	 8
"PP_WISE_KNIGHT_LIMITED_998v2" 	 4501
"PP_Voidbridge_dafa" 	 979
"PP_Vegasbet" 	 32
"PP_VWIN_VWIN" 	 466
"PP_Usoftgaming_PH_Casino" 	 192
"PP_USABET_Group_MTY999" 	 126
"PP_USABET_Group_Luckyall" 	 216
"PP_USABET_Group_LasVegas" 	 97
"PP_USABET_Group_Lagalaxy77" 	 14
"PP_USABET_Group_Circus" 	 2
"PP_Two_Up_Vickers" 	 131
"PP_Tipobet365_Supertotobet" 	 285
"PP_Tipobet365_Onwin" 	 217
"PP_Tipobet365_Mariobet" 	 67
"PP_Tipobet365_Betmatik" 	 42
"PP_Tipobet365" 	 399
"PP_Tekhou5_Roobet" 	 2753
"PP_Superswan_ZCH032" 	 1
"PP_Superswan_ZCH002" 	 11
"PP_Superswan_SS001M" 	 9
"PP_Superswan_SS001" 	 11
"PP_Starbet_Asia" 	 288
"PP_Solid_Afun_Live_Casino_House" 	 270
"PP_Solid_Afun_Happy_Luke" 	 843
"PP_Softswiss_upx_SW" 	 293
"PP_Softswiss_slotegrator_betflip_SW" 	 21
"PP_Softswiss_selector_SW" 	 149
"PP_Softswiss_olimp_SW" 	 174
"PP_Softswiss_nightrush_SW" 	 6
"PP_Softswiss_maneki_SW" 	 99
"PP_Softswiss_livecasino_SW" 	 199
